,Nuevos,Acumulados,Recuperados,Activos
2020-02-28,1,1,0,1
2020-02-29,3,4,0,4
2020-03-01,1,5,0,5
2020-03-02,0,5,0,5
2020-03-03,0,5,0,5
2020-03-04,0,5,0,5
2020-03-05,0,5,0,5
2020-03-06,1,6,0,6
2020-03-07,0,6,0,6
2020-03-08,1,7,0,7
2020-03-09,0,7,0,7
2020-03-10,0,7,0,7
2020-03-11,1,8,0,8
2020-03-12,4,12,0,12
2020-03-13,14,26,0,26
2020-03-14,15,41,1,40
2020-03-15,12,53,4,49
2020-03-16,29,82,5,77
2020-03-17,11,93,5,88
2020-03-18,25,118,5,113
2020-03-19,46,164,5,159
2020-03-20,39,203,5,198
2020-03-21,48,251,6,245
2020-03-22,65,316,6,310
2020-03-23,51,367,7,360
2020-03-24,38,405,7,398
2020-03-25,70,475,7,468
2020-03-26,110,585,8,577
2020-03-27,132,717,12,705
2020-03-28,131,848,26,822
2020-03-29,145,993,41,952
2020-03-30,101,1094,53,1041
2020-03-31,121,1215,82,1133
2020-04-01,163,1378,93,1285
2020-04-02,132,1510,118,1392
2020-04-03,178,1688,164,1524
2020-04-04,202,1890,203,1687
2020-04-05,253,2143,251,1892
2020-04-06,296,2439,316,2123
2020-04-07,346,2785,367,2418
2020-04-08,396,3181,405,2776
2020-04-09,260,3441,475,2966
2020-04-10,403,3844,585,3259
2020-04-11,375,4219,717,3502
2020-04-12,442,4661,848,3813
2020-04-13,353,5014,993,4021
2020-04-14,385,5399,1094,4305
2020-04-15,448,5847,1215,4632
2020-04-16,450,6297,1378,4919
2020-04-17,578,6875,1510,5365
2020-04-18,622,7497,1688,5809
2020-04-19,764,8261,1890,6371
2020-04-20,511,8772,2143,6629
2020-04-21,729,9501,2439,7062
2020-04-22,1043,10544,2785,7759
2020-04-23,1089,11633,3181,8452
2020-04-24,1239,12872,3441,9431
2020-04-25,970,13842,3844,9998
2020-04-26,835,14677,4219,10458
2020-04-27,852,15529,4661,10868
2020-04-28,1223,16752,5014,11738
2020-04-29,1047,17799,5399,12400
2020-04-30,1425,19224,5847,13377
2020-05-01,1515,20739,6297,14442
2020-05-02,1349,22088,6875,15213
2020-05-03,1383,23471,7497,15974
2020-05-04,1434,24905,8261,16644
2020-05-05,1120,26025,8772,17253
2020-05-06,1609,27634,9501,18133
2020-05-07,1982,29616,10544,19072
2020-05-08,1906,31522,11633,19889
2020-05-09,1938,33460,12872,20588
2020-05-10,1562,35022,13842,21180
2020-05-11,1305,36327,14677,21650
2020-05-12,1997,38324,15529,22795
2020-05-13,1862,40186,16752,23434
2020-05-14,2409,42595,17799,24796
2020-05-15,2437,45032,19224,25808
2020-05-16,2112,47144,20739,26405
2020-05-17,2075,49219,22088,27131
2020-05-18,2414,51633,23471,28162
2020-05-19,2713,54346,24905,29441
2020-05-20,2248,56594,26025,30569
2020-05-21,2973,59567,27634,31933
2020-05-22,2960,62527,29616,32911
2020-05-23,3329,65856,31522,34334
2020-05-24,2764,68620,33460,35160
2020-05-25,2485,71105,35022,36083
2020-05-26,3455,74560,36327,38233
2020-05-27,3463,78023,38324,39699
2020-05-28,3377,81400,40186,41214
2020-05-29,3227,84627,42595,42032
2020-05-30,2885,87512,45032,42480
2020-05-31,3152,90664,47144,43520
2020-06-01,2771,93435,49219,44216
2020-06-02,3891,97326,51633,45693
2020-06-03,3912,101238,54346,46892
2020-06-04,4442,105680,56594,49086
2020-06-05,4346,110026,59567,50459
2020-06-06,3593,113619,62527,51092
2020-06-07,3484,117103,65856,51247
2020-06-08,2999,120102,68620,51482
2020-06-09,4199,124301,71105,53196
2020-06-10,4883,129184,74560,54624
2020-06-11,4790,133974,78023,55951
2020-06-12,5222,139196,81400,57796
2020-06-13,3494,142690,84627,58063
2020-06-14,4147,146837,87512,59325
2020-06-15,3427,150264,90664,59600
2020-06-16,4599,154863,93435,61428
2020-06-17,4930,159793,97326,62467
2020-06-18,5662,165455,101238,64217
2020-06-19,5030,170485,105680,64805
2020-06-20,4717,175202,110026,65176
2020-06-21,5343,180545,113619,66926
2020-06-22,4577,185122,117103,68019
2020-06-23,6288,191410,120102,71308
2020-06-24,5437,196847,124301,72546
2020-06-25,6104,202951,129184,73767
2020-06-26,5441,208392,133974,74418
2020-06-27,4410,212802,139196,73606
2020-06-28,4050,216852,142690,74162
2020-06-29,3805,220657,146837,73820
2020-06-30,5432,226089,150264,75825
2020-07-01,5681,231770,154863,76907
2020-07-02,6741,238511,159793,78718
2020-07-03,6740,245251,165455,79796
2020-07-04,6914,252165,170485,81680
2020-07-05,4683,256848,175202,81646
2020-07-06,4902,261750,180545,81205
2020-07-07,6258,268008,185122,82886
2020-07-08,6995,275003,191410,83593
2020-07-09,7280,282283,196847,85436
2020-07-10,6891,289174,202951,86223
2020-07-11,6094,295268,208392,86876
2020-07-12,4482,299750,212802,86948
2020-07-13,4685,304435,216852,87583
2020-07-14,7051,311486,220657,90829
2020-07-15,6149,317635,226089,91546
2020-07-16,6406,324041,231770,92271
2020-07-17,7257,331298,238511,92787
2020-07-18,7615,338913,245251,93662
2020-07-19,5311,344224,252165,92059
2020-07-20,5172,349396,256848,92548
2020-07-21,6859,356255,261750,94505
2020-07-22,6019,362274,268008,94266
2020-07-23,8438,370712,275003,95709
2020-07-24,7573,378285,282283,96002
2020-07-25,6751,385036,289174,95862
2020-07-26,5480,390516,295268,95248
2020-07-27,4973,395489,299750,95739
2020-07-28,7208,402697,304435,98262
2020-07-29,5752,408449,311486,96963
2020-07-30,7730,416179,317635,98544
2020-07-31,8458,424637,324041,100596
2020-08-01,9556,434193,331298,102895
2020-08-02,4853,439046,338913,100133
2020-08-03,4767,443813,344224,99589
2020-08-04,6148,449961,349396,100565
2020-08-05,6139,456100,356255,99845
2020-08-06,6590,462690,362274,100416
2020-08-07,6717,469407,370712,98695
2020-08-08,6495,475902,378285,97617
2020-08-09,4376,480278,385036,95242
2020-08-10,5558,485836,390516,95320
2020-08-11,6686,492522,395489,97033
2020-08-12,5858,498380,402697,95683
2020-08-13,7371,505751,408449,97302
2020-08-14,5618,511369,416179,95190
2020-08-15,6345,517714,424637,93077
2020-08-16,4448,522162,434193,87969
2020-08-17,3571,525733,439046,86687
2020-08-18,5506,531239,443813,87426
2020-08-19,5792,537031,449961,87070
2020-08-20,6775,543806,456100,87706
2020-08-21,5928,549734,462690,87044
2020-08-22,6482,556216,469407,86809
2020-08-23,3948,560164,475902,84262
2020-08-24,3541,563705,480278,83427
2020-08-25,4916,568621,485836,82785
2020-08-26,5267,573888,492522,81366
2020-08-27,6026,579914,498380,81534
2020-08-28,5824,585738,505751,79987
2020-08-29,5974,591712,511369,80343
2020-08-30,4129,595841,517714,78127
2020-08-31,3719,599560,522162,77398
2020-09-01,6476,606036,525733,80303
2020-09-02,4921,610957,531239,79718
2020-09-03,5937,616894,537031,79863
2020-09-04,6196,623090,543806,79284
2020-09-05,6319,629409,549734,79675
2020-09-06,4614,634023,556216,77807
2020-09-07,3486,637509,560164,77345
2020-09-08,5351,642860,563705,79155
2020-09-09,4461,647321,568621,78700
2020-09-10,5043,652364,573888,78476
2020-09-11,5935,658299,579914,78385
2020-09-12,5674,663973,585738,78235
2020-09-13,4408,668381,591712,76669
2020-09-14,3335,671716,595841,75875
2020-09-15,4771,676487,599560,76927
2020-09-16,4444,680931,606036,74895
2020-09-17,3182,684113,610957,73156
2020-09-18,4841,688954,616894,72060
2020-09-19,5167,694121,623090,71031
2020-09-20,3542,697663,629409,68254
2020-09-21,2917,700580,634023,66557
2020-09-22,4683,705263,637509,67754
2020-09-23,4786,710049,642860,67189
2020-09-24,5408,715457,647321,68136
2020-09-25,5401,720858,652364,68494
2020-09-26,5573,726431,658299,68132
2020-09-27,3886,730317,663973,66344
2020-09-28,3400,733717,668381,65336
2020-09-29,4446,738163,671716,66447
2020-09-30,5053,743216,676487,66729
2020-10-01,5099,748315,680931,67384
2020-10-02,4775,753090,684113,68977
2020-10-03,4863,757953,688954,68999
2020-10-04,3712,761665,694121,67544
2020-10-05,28115,789780,697663,92117
2020-10-06,4828,794608,700580,94028
2020-10-07,4580,799188,705263,93925
2020-10-08,5300,804488,710049,94439
2020-10-09,5532,810020,715457,94563
2020-10-10,4308,814328,720858,93470
2020-10-11,3175,817503,726431,91072
2020-10-12,3542,821045,730317,90728
2020-10-13,4295,825340,733717,91623
2020-10-14,4056,829396,738163,91233
2020-10-15,5514,834910,743216,91694
2020-10-16,6751,841661,748315,93346
2020-10-17,5447,847108,753090,94018
2020-10-18,4119,851227,757953,93274
2020-10-19,3699,854926,761665,93261
2020-10-20,5788,860714,789780,70934
2020-10-21,6845,867559,794608,72951
2020-10-22,6612,874171,799188,74983
2020-10-23,6604,880775,804488,76287
2020-10-24,6025,886800,810020,76780
2020-10-25,4360,891160,814328,76832
2020-10-26,4166,895326,817503,77823
2020-10-27,5942,901268,821045,80223
2020-10-28,5595,906863,825340,81523
2020-10-29,5948,912811,829396,83415
2020-10-30,6000,918811,834910,83901
2020-10-31,6151,924962,841661,83301
2020-11-01,4430,929392,847108,82284
2020-11-02,3763,933155,851227,81928
2020-11-03,5250,938405,854926,83479
2020-11-04,5225,943630,860714,82916
2020-11-05,5567,949197,867559,81638
2020-11-06,5931,955128,874171,80957
2020-11-07,6810,961938,880775,81163
2020-11-08,5887,967825,886800,81025
2020-11-09,4960,972785,891160,81625
2020-11-10,5746,978531,895326,83205
2020-11-11,7646,986177,901268,84909
2020-11-12,5658,991835,906863,84972
2020-11-13,5558,997393,912811,84582
2020-11-14,5860,1003253,918811,84442
2020-11-15,3269,1006522,924962,81560
2020-11-16,2874,1009396,929392,80004
2020-11-17,1757,1011153,933155,77998
2020-11-18,3918,1015071,938405,76666
2020-11-19,4472,1019543,943630,75913
2020-11-20,6426,1025969,949197,76772
2020-11-21,6719,1032688,955128,77560
2020-11-22,9187,1041875,961938,79937
2020-11-23,7483,1049358,967825,81533
2020-11-24,10794,1060152,972785,87367
2020-11-25,10335,1070487,978531,91956
2020-11-26,8107,1078594,986177,92417
2020-11-27,12081,1090675,991835,98840
2020-11-28,10728,1101403,997393,104010
2020-11-29,5668,1107071,1003253,103818
2020-11-30,6472,1113543,1006522,107021
2020-12-01,8819,1122362,1009396,112966
2020-12-02,11251,1133613,1011153,122460
2020-12-03,11030,1144643,1015071,129572
2020-12-04,12127,1156770,1019543,137227
2020-12-05,11625,1168395,1025969,142426
2020-12-06,7455,1175850,1032688,143162
2020-12-07,6399,1182249,1041875,140374
2020-12-08,11006,1193255,1049358,143897
2020-12-09,11974,1205229,1060152,145077
2020-12-10,11897,1217126,1070487,146639
2020-12-11,12253,1229379,1078594,150785
2020-12-12,12057,1241436,1090675,150761
2020-12-13,8608,1250044,1101403,148641
2020-12-14,5930,1255974,1107071,148903
2020-12-15,11228,1267202,1113543,153659
2020-12-16,10297,1277499,1122362,155137
2020-12-17,11799,1289298,1133613,155685
2020-12-18,12248,1301546,1144643,156903
2020-12-19,12129,1313675,1156770,156905
2020-12-20,6870,1320545,1168395,152150
2020-12-21,5370,1325915,1175850,150065
2020-12-22,12511,1338426,1182249,156177
2020-12-23,11653,1350079,1193255,156824
2020-12-24,12485,1362564,1205229,157335
2020-12-25,9679,1372243,1217126,155117
2020-12-26,4974,1377217,1229379,147838
2020-12-27,6217,1383434,1241436,141998
2020-12-28,5996,1389430,1250044,139386
2020-12-29,12099,1401529,1255974,145555
2020-12-30,12406,1413935,1267202,146733
2020-12-31,12159,1426094,1277499,148595
2021-01-01,11091,1437185,1289298,147887
2021-01-02,6359,1443544,1301546,141998
2021-01-03,5211,1448755,1313675,135080
2021-01-04,6464,1455219,1320545,134674
2021-01-05,11271,1466490,1325915,140575
2021-01-06,13345,1479835,1338426,141409
2021-01-07,13734,1493569,1350079,143490
2021-01-08,14362,1507931,1362564,145367
2021-01-09,16105,1524036,1372243,151793
2021-01-10,10003,1534039,1377217,156822
2021-01-11,7594,1541633,1383434,158199
2021-01-12,14395,1556028,1389430,166598
2021-01-13,15873,1571901,1401529,170372
2021-01-14,16468,1588369,1413935,174434
2021-01-15,21366,1609735,1426094,183641
2021-01-16,20523,1630258,1437185,193073
2021-01-17,11170,1641428,1443544,197884
2021-01-18,8074,1649502,1448755,200747
2021-01-19,18894,1668396,1455219,213177
2021-01-20,20548,1688944,1466490,222454
2021-01-21,22339,1711283,1479835,231448
2021-01-22,21007,1732290,1493569,238721
2021-01-23,20057,1752347,1507931,244416
2021-01-24,10872,1763219,1524036,239183
2021-01-25,8521,1771740,1534039,237701
2021-01-26,17165,1788905,1541633,247272
2021-01-27,17944,1806849,1556028,250821
2021-01-28,18670,1825519,1571901,253618
2021-01-29,16374,1841893,1588369,253524
2021-01-30,15337,1857230,1609735,247495
2021-01-31,7030,1864260,1630258,234002
2021-02-01,5448,1869708,1641428,228280
2021-02-02,4384,1874092,1649502,224590
2021-02-03,12153,1886245,1668396,217849
2021-02-04,0,1886245,1688944,197301
2021-02-05,26626,1912871,1711283,201588
2021-02-06,13209,1926080,1732290,193790
2021-02-07,6065,1932145,1752347,179798
2021-02-08,3868,1936013,1763219,172794
2021-02-09,10738,1946751,1771740,175011
2021-02-10,11138,1957889,1788905,168984
2021-02-11,10677,1968566,1806849,161717
2021-02-12,10388,1978954,1825519,153435
2021-02-13,9741,1988695,1841893,146802
2021-02-14,4099,1992794,1857230,135564
2021-02-15,3098,1995892,1864260,131632
2021-02-16,8683,2004575,1869708,134867
2021-02-17,8988,2013563,1874092,139471
2021-02-18,9099,2022662,1886245,136417
2021-02-19,7829,2030491,1886245,144246
2021-02-20,7785,2038276,1912871,125405
2021-02-21,3104,2041380,1926080,115300
2021-02-22,2252,2043632,1932145,111487
2021-02-23,8634,2052266,1936013,116253
2021-02-24,8642,2060908,1946751,114157
2021-02-25,8462,2069370,1957889,111481
2021-02-26,7512,2076882,1968566,108316
2021-02-27,7246,2084128,1978954,105174
2021-02-28,2810,2086938,1988695,98243
2021-03-01,2343,2089281,1992794,96487
2021-03-02,7913,2097194,1995892,101302
2021-03-03,7793,2104987,2004575,100412
2021-03-04,7521,2112508,2013563,98945
2021-03-05,6797,2119305,2022662,96643
2021-03-06,6561,2125866,2030491,95375
2021-03-07,2734,2128600,2038276,90324
2021-03-08,1877,2130477,2041380,89097
2021-03-09,7407,2137884,2043632,94252
2021-03-10,6602,2144486,2052266,92220
2021-03-11,6469,2150955,2060908,90047
2021-03-12,6816,2157771,2069370,88401
2021-03-13,6104,2163875,2076882,86993
2021-03-14,2415,2166290,2084128,82162
2021-03-15,1439,2167729,2086938,80791
2021-03-16,1278,2169007,2089281,79726
2021-03-17,6455,2175462,2097194,78268
2021-03-18,6726,2182188,2104987,77201
2021-03-19,5722,2187910,2112508,75402
2021-03-20,5729,2193639,2119305,74334
2021-03-21,2133,2195772,2125866,69906
2021-03-22,1388,2197160,2128600,68560
2021-03-23,5881,2203041,2130477,72564
2021-03-24,5714,2208755,2137884,70871
2021-03-25,5787,2214542,2144486,70056
2021-03-26,5303,2219845,2150955,68890
2021-03-27,5059,2224904,2157771,67133
2021-03-28,1646,2226550,2163875,62675
2021-03-29,1293,2227843,2166290,61553
2021-03-30,5067,2232910,2167729,65181
2021-03-31,5977,2238887,2169007,69880
2021-04-01,5381,2244268,2175462,68806
2021-04-02,3089,2247357,2182188,65169
2021-04-03,1838,2249195,2187910,61285
2021-04-04,1263,2250458,2193639,56819
2021-04-05,1247,2251705,2195772,55933
2021-04-06,4804,2256509,2197160,59349
2021-04-07,5370,2261879,2203041,58838
2021-04-08,5140,2267019,2208755,58264
2021-04-09,5045,2272064,2214542,57522
2021-04-10,6356,2278420,2219845,58575
2021-04-11,1793,2280213,2224904,55309
2021-04-12,1627,2281840,2226550,55290
2021-04-13,4512,2286352,2227843,58509
2021-04-14,4894,2291246,2232910,58336
2021-04-15,4189,2295435,2238887,56548
2021-04-16,4504,2299939,2244268,55671
2021-04-17,4157,2304096,2247357,56739
2021-04-18,1506,2305602,2249195,56407
2021-04-19,1308,2306910,2250458,56452
2021-04-20,4262,2311172,2251705,59467
2021-04-21,4639,2315811,2256509,59302
2021-04-22,3708,2319519,2261879,57640
2021-04-23,3911,2323430,2267019,56411
2021-04-24,3308,2326738,2272064,54674
2021-04-25,1653,2328391,2278420,49971
2021-04-26,1143,2329534,2280213,49321
2021-04-27,3592,2333126,2281840,51286
2021-04-28,3818,2336944,2286352,50592
2021-04-29,3990,2340934,2291246,49688
2021-04-30,3821,2344755,2295435,49320
2021-05-01,3025,2347780,2299939,47841
2021-05-02,1093,2348873,2304096,44777
2021-05-03,1027,2349900,2305602,44298
2021-05-04,3064,2352964,2306910,46054
2021-05-05,3021,2355985,2311172,44813
2021-05-06,2846,2358831,2315811,43020
2021-05-07,3043,2361874,2319519,42355
2021-05-08,2743,2364617,2323430,41187
2021-05-09,1175,2365792,2326738,39054
2021-05-10,704,2366496,2328391,38105
2021-05-11,1897,2368393,2329534,38859
2021-05-12,3090,2371483,2333126,38357
2021-05-13,3632,2375115,2336944,38171
2021-05-14,2880,2377995,2340934,37061
2021-05-15,2695,2380690,2344755,35935
2021-05-16,1233,2381923,2347780,34143
2021-05-17,822,2382745,2348873,33872
2021-05-18,2767,2385512,2349900,35612
2021-05-19,2000,2387512,2352964,34548
2021-05-20,2628,2390140,2355985,34155
2021-05-21,2604,2392744,2358831,33913
2021-05-22,2586,2395330,2361874,33456
2021-05-23,1274,2396604,2364617,31987
2021-05-24,703,2397307,2365792,31515
2021-05-25,2483,2399790,2366496,33294
2021-05-26,2932,2402722,2368393,34329
2021-05-27,3050,2405772,2371483,34289
2021-05-28,3006,2408778,2375115,33663
2021-05-29,2725,2411503,2377995,33508
2021-05-30,1307,2412810,2380690,32120
2021-05-31,932,2413742,2381923,31819
2021-06-01,6917,2420659,2382745,37914
2021-06-02,3269,2423928,2385512,38416
2021-06-03,2894,2426822,2387512,39310
2021-06-04,2809,2429631,2390140,39491
2021-06-05,2071,2431702,2392744,38958
2021-06-06,1979,2433681,2395330,38351
2021-06-07,881,2434562,2396604,37958
2021-06-08,3449,2438011,2397307,40704
2021-06-09,3855,2441866,2399790,42076
2021-06-10,3672,2445538,2402722,42816
2021-06-11,3282,2448820,2405772,43048
2021-06-12,3649,2452469,2408778,43691
2021-06-13,1707,2454176,2411503,42673
2021-06-14,1175,2455351,2412810,42541
2021-06-15,4250,2459601,2413742,45859
2021-06-16,3789,2463390,2420659,42731
2021-06-17,4253,2467643,2423928,43715
2021-06-18,4098,2471741,2426822,44919
2021-06-19,0,2471741,2429631,42110
2021-06-20,5542,2477283,2431702,45581
2021-06-21,1268,2478551,2433681,44870
2021-06-22,4233,2482784,2434562,48222
2021-06-23,4963,2487747,2438011,49736
2021-06-24,5340,2493087,2441866,51221
2021-06-25,5270,2498357,2445538,52819
2021-06-26,5051,2503408,2448820,54588
2021-06-27,2384,2505792,2452469,53323
2021-06-28,1661,2507453,2454176,53277
2021-06-29,5711,2513164,2455351,57813
2021-06-30,6105,2519269,2459601,59668
2021-07-01,6081,2525350,2463390,61960
2021-07-02,5842,2531192,2467643,63549
2021-07-03,6265,2537457,2471741,65716
2021-07-04,2611,2540068,2471741,68327
2021-07-05,1805,2541873,2477283,64590
2021-07-06,7989,2549862,2478551,71311
2021-07-07,8507,2558369,2482784,75585
2021-07-08,9452,2567821,2487747,80074
2021-07-09,9319,2577140,2493087,84053
2021-07-10,9581,2586721,2498357,88364
2021-07-11,3779,2590500,2503408,87092
2021-07-12,3074,2593574,2505792,87782
2021-07-13,11137,2604711,2507453,97258
2021-07-14,12116,2616827,2513164,103663
2021-07-15,12821,2629648,2519269,110379
2021-07-16,12420,2642068,2525350,116718
2021-07-17,12631,2654699,2531192,123507
2021-07-18,4438,2659137,2537457,121680
2021-07-19,5307,2664444,2540068,124376
2021-07-20,13853,2678297,2541873,136424
2021-07-21,15198,2693495,2549862,143633
2021-07-22,16244,2709739,2558369,151370
2021-07-23,0,2709739,2567821,141918
2021-07-24,32244,2741983,2577140,164843
2021-07-25,6535,2748518,2586721,161797
2021-07-26,5920,2754438,2590500,163938
2021-07-27,17408,2771846,2593574,178272
2021-07-28,19028,2790874,2604711,186163
2021-07-29,19223,2810097,2616827,193270
2021-07-30,19346,2829443,2629648,199795
2021-07-31,18809,2848252,2642068,206184
2021-08-01,6740,2854992,2654699,200293
2021-08-02,6506,2861498,2659137,202361
2021-08-03,18911,2880409,2664444,215965
2021-08-04,20685,2901094,2678297,222797
2021-08-05,21569,2922663,2693495,229168
2021-08-06,21563,2944226,2709739,234487
2021-08-07,20018,2964244,2709739,254505
2021-08-08,7573,2971817,2741983,229834
2021-08-09,6513,2978330,2748518,229812
2021-08-10,19555,2997885,2754438,243447
2021-08-11,22711,3020596,2771846,248750
2021-08-12,24975,3045571,2790874,254697
2021-08-13,22758,3068329,2810097,258232
2021-08-14,23642,3091971,2829443,262528
2021-08-15,0,3091971,2848252,243719
2021-08-16,16467,3108438,2854992,253446
2021-08-17,14814,3123252,2861498,261754
2021-08-18,28953,3152205,2880409,271796
2021-08-19,23169,3175374,2901094,274280
2021-08-20,21734,3197108,2922663,274445
2021-08-21,20307,3217415,2944226,273189
2021-08-22,7658,3225073,2964244,260829
2021-08-23,6543,3231616,2971817,259799
2021-08-24,18262,3249878,2978330,271548
2021-08-25,21250,3271128,2997885,273243
2021-08-26,20633,3291761,3020596,271165
2021-08-27,19556,3311317,3045571,265746
2021-08-28,17546,3328863,3068329,260534
2021-08-29,6837,3335700,3091971,243729
2021-08-30,5564,3341264,3091971,249293
2021-08-31,11146,3352410,3108438,243972
2021-09-01,17337,3369747,3123252,246495
2021-09-02,18138,3387885,3152205,235680
2021-09-03,17409,3405294,3175374,229920
2021-09-04,15586,3420880,3197108,223772
2021-09-05,7504,3428384,3217415,210969
2021-09-06,5127,3433511,3225073,208438
2021-09-07,15784,3449295,3231616,217679
2021-09-08,15876,3465171,3249878,215293
2021-09-09,14828,3479999,3271128,208871
2021-09-10,0,3479999,3291761,188238
2021-09-11,26744,3506743,3311317,195426
2021-09-12,5139,3511882,3328863,183019
2021-09-13,4161,3516043,3335700,180343
2021-09-14,12929,3528972,3341264,187708
2021-09-15,13217,3542189,3352410,189779
2021-09-16,7040,3549229,3369747,179482
2021-09-17,3754,3552983,3387885,165098
2021-09-18,0,3552983,3405294,147689
2021-09-19,16694,3569677,3420880,148797
2021-09-20,3367,3573044,3428384,144660
2021-09-21,0,3573044,3433511,139533
